test_set	rank_a	system_a	rank_b	system_b	ranking_metric	ranking_score_a	ranking_ci_lo_a	ranking_ci_hi_a	ranking_score_b	ranking_ci_lo_b	ranking_ci_hi_b	test_metric	mean_diff	ci_lower	ci_upper	p_value	significant	winner
dta19_l0_v0.1_test_de	1	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run2	2	baseline-no-correction_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.002900	0.002300	0.003400	0.004000	0.003200	0.004800	cMER	-0.000697	-0.001166	-0.000187	0.009400	yes	A
dta19_l0_v0.1_test_de	1	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run2	2	baseline-no-correction_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.002900	0.002300	0.003400	0.004000	0.003200	0.004800	wMER	-0.006015	-0.009280	-0.002721	0.000600	yes	A
dta19_l0_v0.1_test_de	1	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run2	2	baseline-no-correction_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.002900	0.002300	0.003400	0.004000	0.003200	0.004800	char_pref	0.450000	0.287500	0.600000	0.000000	yes	A
dta19_l0_v0.1_test_de	1	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run2	2	baseline-no-correction_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.002900	0.002300	0.003400	0.004000	0.003200	0.004800	word_pref	0.475000	0.337500	0.612500	0.000000	yes	A
dta19_l0_v0.1_test_de	2	baseline-no-correction_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	3	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.004000	0.003200	0.004800	0.005400	0.002900	0.009300	cMER	-0.015766	-0.019473	-0.012325	0.000000	yes	A
dta19_l0_v0.1_test_de	2	baseline-no-correction_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	3	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.004000	0.003200	0.004800	0.005400	0.002900	0.009300	wMER	-0.098873	-0.120783	-0.077022	0.000000	yes	A
dta19_l0_v0.1_test_de	2	baseline-no-correction_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	3	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.004000	0.003200	0.004800	0.005400	0.002900	0.009300	char_pref	0.525000	0.350000	0.687500	0.000000	yes	A
dta19_l0_v0.1_test_de	2	baseline-no-correction_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	3	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.004000	0.003200	0.004800	0.005400	0.002900	0.009300	word_pref	0.512500	0.337500	0.675000	0.000000	yes	A
dta19_l0_v0.1_test_de	3	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	4	l3i_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.005400	0.002900	0.009300	0.005800	0.004500	0.007300	cMER	0.010623	0.006077	0.015180	0.000000	yes	B
dta19_l0_v0.1_test_de	3	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	4	l3i_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.005400	0.002900	0.009300	0.005800	0.004500	0.007300	wMER	0.068859	0.042709	0.095115	0.000000	yes	B
dta19_l0_v0.1_test_de	3	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	4	l3i_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.005400	0.002900	0.009300	0.005800	0.004500	0.007300	char_pref	-0.200000	-0.400000	0.012500	0.064200	no	tie
dta19_l0_v0.1_test_de	3	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	4	l3i_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.005400	0.002900	0.009300	0.005800	0.004500	0.007300	word_pref	-0.187500	-0.375000	0.012500	0.077200	no	tie
dta19_l0_v0.1_test_de	4	l3i_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	5	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run3	cmer_micro	0.005800	0.004500	0.007300	0.006100	0.004700	0.007600	cMER	-0.019801	-0.024289	-0.015204	0.000000	yes	A
dta19_l0_v0.1_test_de	4	l3i_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	5	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run3	cmer_micro	0.005800	0.004500	0.007300	0.006100	0.004700	0.007600	wMER	-0.179174	-0.203883	-0.151694	0.000000	yes	A
dta19_l0_v0.1_test_de	4	l3i_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	5	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run3	cmer_micro	0.005800	0.004500	0.007300	0.006100	0.004700	0.007600	char_pref	0.562500	0.425000	0.700000	0.000000	yes	A
dta19_l0_v0.1_test_de	4	l3i_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	5	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run3	cmer_micro	0.005800	0.004500	0.007300	0.006100	0.004700	0.007600	word_pref	0.550000	0.412500	0.687500	0.000000	yes	A
dta19_l0_v0.1_test_de	5	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run3	6	blocr_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.006100	0.004700	0.007600	0.007600	0.005800	0.009800	cMER	-0.002157	-0.006164	0.001774	0.282800	no	tie
dta19_l0_v0.1_test_de	5	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run3	6	blocr_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.006100	0.004700	0.007600	0.007600	0.005800	0.009800	wMER	0.090740	0.065700	0.115086	0.000000	yes	B
dta19_l0_v0.1_test_de	5	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run3	6	blocr_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.006100	0.004700	0.007600	0.007600	0.005800	0.009800	char_pref	0.000000	-0.100000	0.100000	1.000000	no	tie
dta19_l0_v0.1_test_de	5	bnf-mistral_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run3	6	blocr_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.006100	0.004700	0.007600	0.007600	0.005800	0.009800	word_pref	-0.062500	-0.187500	0.050000	0.368600	no	tie
dta19_l0_v0.1_test_de	6	blocr_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	7	Zakaria-ENSIAS_hipe-ocrepair-bench_v0.9_dta19-l0_v0.1_masked-test_de_run1	cmer_micro	0.007600	0.005800	0.009800	0.011400	0.008900	0.013900	cMER	-0.024888	-0.031575	-0.018669	0.000000	yes	A
